,gtaa_buy_signal,sentiment_buy,risk_buy,dm_buy_signal,paa_buy_signal,daa_buy_signal
2013-03-01,"['NVDA', 'GOOG', 'GOOGL', 'AMZN', 'META']","['INTC', 'MSFT', 'SBUX', 'ROST', 'AMGN']",['CHTR'],"['NFLX', 'GILD', 'WDAY', 'WBD', 'CSGP']","['ASML', 'GILD', 'CSGP', 'NFLX', 'WBD']","['NFLX', 'PANW', 'GILD', 'META', 'WBD']"
2013-03-04,"['GOOG', 'GOOGL', 'AMZN', 'NFLX', 'MU']","['INTC', 'MSFT', 'SBUX', 'TXN', 'PEP']",['CHTR'],"['NFLX', 'GILD', 'WDAY', 'WBD', 'NXPI']","['ASML', 'GILD', 'CSGP', 'WBD', 'REGN']","['NFLX', 'PANW', 'GILD', 'EA', 'WBD']"
2013-03-05,"['NVDA', 'GOOG', 'GOOGL', 'AMZN', 'META']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'ROST']",['CHTR'],"['NFLX', 'FANG', 'GILD', 'WDAY', 'WBD']","['ASML', 'GILD', 'CSGP', 'NFLX', 'WBD']","['NFLX', 'GILD', 'PANW', 'MU', 'NXPI']"
2013-03-06,"['NVDA', 'GOOG', 'GOOGL', 'CSCO', 'AMZN']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'ROST']","['CSX', 'CHTR']","['FANG', 'GILD', 'WDAY', 'WBD', 'NXPI']","['ASML', 'GILD', 'CSGP', 'NFLX', 'REGN']","['NFLX', 'GILD', 'PANW', 'META', 'CHTR']"
2013-03-07,"['NVDA', 'GOOG', 'GOOGL', 'META', 'CSX']","['INTC', 'MSFT', 'SBUX', 'GILD', 'PEP']","['CSX', 'EA', 'CHTR']","['FANG', 'GILD', 'WDAY', 'WBD', 'MU']","['GILD', 'ASML', 'NFLX', 'CSGP', 'WBD']","['NFLX', 'MU', 'GILD', 'PANW', 'WBD']"
2013-03-08,"['NVDA', 'GOOG', 'GOOGL', 'META', 'AMZN']","['INTC', 'MSFT', 'SBUX', 'QCOM', 'PEP']","['CSX', 'CHTR']","['NFLX', 'FANG', 'GILD', 'WDAY', 'WBD']","['GILD', 'ASML', 'NFLX', 'CSGP', 'WBD']","['NFLX', 'MU', 'GILD', 'PANW', 'WBD']"
2013-03-11,"['NVDA', 'GOOG', 'GOOGL', 'MU', 'AMZN']","['INTC', 'MSFT', 'CMCSA', 'SBUX', 'AMGN']","['CSX', 'EA', 'CHTR']","['NFLX', 'FANG', 'GILD', 'WDAY', 'MU']","['GILD', 'ASML', 'NFLX', 'WBD', 'CSGP']","['NFLX', 'MU', 'GILD', 'PANW', 'WBD']"
2013-03-12,"['NVDA', 'GOOG', 'GOOGL', 'AMZN', 'EBAY']","['MSFT', 'INTC', 'SBUX', 'QCOM', 'AMGN']","['CSX', 'EA', 'CHTR']","['NFLX', 'GILD', 'MU', 'WBD', 'DXCM']","['GILD', 'ASML', 'NFLX', 'DXCM', 'WBD']","['NFLX', 'MU', 'GILD', 'DXCM', 'PANW']"
2013-03-13,"['NVDA', 'GOOG', 'GOOGL', 'NFLX', 'EBAY']","['MSFT', 'INTC', 'SBUX', 'GILD', 'AMGN']","['EBAY', 'CSX', 'EA', 'CHTR']","['NFLX', 'GILD', 'MU', 'WBD', 'DXCM']","['GILD', 'ASML', 'NFLX', 'DXCM', 'WBD']","['NFLX', 'MU', 'GILD', 'PANW', 'DXCM']"
2013-03-14,"['NVDA', 'AMZN', 'GOOG', 'GOOGL', 'AVGO']","['MSFT', 'INTC', 'SBUX', 'EXC', 'AMGN']",['CHTR'],"['NFLX', 'GILD', 'MU', 'WBD', 'EA']","['GILD', 'ASML', 'NFLX', 'WBD', 'DXCM']","['NFLX', 'MU', 'GILD', 'PANW', 'DXCM']"
2013-03-15,"['GOOG', 'GOOGL', 'AMZN', 'CSCO', 'EBAY']","['MSFT', 'INTC', 'EBAY', 'CMCSA', 'SBUX']",['CHTR'],"['GILD', 'MU', 'WBD', 'EA', 'DXCM']","['GILD', 'ASML', 'NFLX', 'WBD', 'CSGP']","['NFLX', 'MU', 'PANW', 'GILD', 'WBD']"
2013-03-18,"['GOOG', 'GOOGL', 'AMZN', 'EBAY', 'CSCO']","['MSFT', 'INTC', 'EBAY', 'SBUX', 'EXC']",['CHTR'],"['GILD', 'CHTR', 'WBD', 'MU', 'EA']","['GILD', 'ASML', 'NFLX', 'WBD', 'CHTR']","['NFLX', 'CHTR', 'MU', 'PANW', 'WBD']"
2013-03-19,"['GOOG', 'GOOGL', 'AMZN', 'EBAY', 'AVGO']","['MSFT', 'INTC', 'SBUX', 'TXN', 'EXC']",['MRVL'],"['CHTR', 'GILD', 'MU', 'WBD', 'AMD']","['GILD', 'ASML', 'WBD', 'NFLX', 'CHTR']","['NFLX', 'CHTR', 'PANW', 'MU', 'WBD']"
2013-03-20,"['GOOG', 'GOOGL', 'AMZN', 'META', 'EBAY']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'TXN']",['MRVL'],"['CHTR', 'MU', 'WBD', 'GILD', 'WBA']","['GILD', 'ASML', 'CHTR', 'WBD', 'NFLX']","['NFLX', 'CHTR', 'MU', 'PANW', 'WBD']"
2013-03-21,"['CSCO', 'GOOG', 'GOOGL', 'AMZN', 'MU']","['MSFT', 'EBAY', 'INTC', 'QCOM', 'ROST']",['MRVL'],"['CHTR', 'GILD', 'WBD', 'MU', 'WBA']","['GILD', 'ASML', 'WBD', 'CHTR', 'CSGP']","['NFLX', 'CHTR', 'MU', 'PANW', 'WBD']"
2013-03-22,"['MU', 'AMZN', 'GOOG', 'GOOGL', 'CSCO']","['INTC', 'MSFT', 'SBUX', 'QCOM', 'EXC']",['MRVL'],"['NFLX', 'MU', 'CHTR', 'GILD', 'WBD']","['GILD', 'ASML', 'WBD', 'DXCM', 'CHTR']","['NFLX', 'MU', 'CHTR', 'PANW', 'WBD']"
2013-03-25,"['GOOG', 'GOOGL', 'AMZN', 'CMCSA', 'EBAY']","['MSFT', 'MU', 'INTC', 'SBUX', 'AMGN']",['MRVL'],"['NFLX', 'MU', 'CHTR', 'GILD', 'WBD']","['GILD', 'ASML', 'WBD', 'DXCM', 'CHTR']","['NFLX', 'MU', 'CHTR', 'PANW', 'WBD']"
2013-03-26,"['AMZN', 'GOOG', 'GOOGL', 'NFLX', 'MU']","['INTC', 'MU', 'MSFT', 'CMCSA', 'QCOM']",['MRVL'],"['NFLX', 'MU', 'GILD', 'CHTR', 'WBD']","['GILD', 'ASML', 'WBD', 'CHTR', 'CSGP']","['NFLX', 'MU', 'CHTR', 'WBA', 'VRTX']"
2013-03-27,"['GOOG', 'GOOGL', 'AMZN', 'META', 'NFLX']","['INTC', 'MSFT', 'MU', 'SBUX', 'QCOM']",['MRVL'],"['NFLX', 'MU', 'GILD', 'CHTR', 'WBA']","['GILD', 'ASML', 'CHTR', 'DXCM', 'WBD']","['NFLX', 'MU', 'CHTR', 'GILD', 'WBA']"
2013-03-28,"['NVDA', 'GOOG', 'GOOGL', 'EBAY', 'MSFT']","['MSFT', 'INTC', 'CMCSA', 'MU', 'EXC']","['MRVL', 'ADP']","['NFLX', 'GILD', 'MU', 'CHTR', 'WBA']","['GILD', 'ASML', 'CHTR', 'WBD', 'NFLX']","['NFLX', 'MU', 'CHTR', 'GILD', 'WBA']"
2013-04-01,"['TSLA', 'GOOG', 'GOOGL', 'AMZN', 'EBAY']","['INTC', 'MSFT', 'CMCSA', 'SBUX', 'EXC']","['MU', 'MRVL', 'ADP']","['GILD', 'CHTR', 'MU', 'TSLA', 'WBA']","['GILD', 'ASML', 'DXCM', 'CHTR', 'NFLX']","['NFLX', 'ENPH', 'TSLA', 'CHTR', 'MU']"
2013-04-02,"['TSLA', 'GOOG', 'GOOGL', 'AMZN', 'EBAY']","['MSFT', 'INTC', 'SBUX', 'PCAR', 'EXC']","['MU', 'MRVL', 'ADP']","['GILD', 'CHTR', 'MU', 'TSLA', 'BIIB']","['GILD', 'ASML', 'DXCM', 'CHTR', 'AMGN']","['NFLX', 'ENPH', 'TSLA', 'CHTR', 'BIIB']"
2013-04-03,"['TSLA', 'NFLX', 'GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'CMCSA', 'SBUX', 'EXC']","['MU', 'ADP']","['GILD', 'CHTR', 'MU', 'BIIB', 'WBA']","['GILD', 'ASML', 'CHTR', 'AMGN', 'DXCM']","['NFLX', 'ENPH', 'CHTR', 'BIIB', 'PANW']"
2013-04-04,"['GOOG', 'GOOGL', 'META', 'MSFT', 'AMZN']","['MSFT', 'MU', 'INTC', 'MNST', 'CMCSA']",,"['NFLX', 'GILD', 'CHTR', 'MU', 'BIIB']","['GILD', 'ASML', 'CHTR', 'AMGN', 'DXCM']","['ENPH', 'NFLX', 'CHTR', 'BIIB', 'TSLA']"
2013-04-05,"['GOOG', 'GOOGL', 'META', 'CSCO', 'AMZN']","['MSFT', 'MU', 'INTC', 'EXC', 'SBUX']",,"['NFLX', 'CHTR', 'GILD', 'MU', 'WBA']","['GILD', 'ASML', 'CHTR', 'DXCM', 'CSGP']","['ENPH', 'CHTR', 'NFLX', 'WBA', 'PANW']"
2013-04-08,"['GOOG', 'GOOGL', 'AMZN', 'MSFT', 'NFLX']","['MSFT', 'INTC', 'SBUX', 'EXC', 'PCAR']","['MNST', 'ADSK']","['NFLX', 'CHTR', 'GILD', 'WBA', 'MU']","['GILD', 'ASML', 'CHTR', 'CSGP', 'DXCM']","['CHTR', 'ENPH', 'WBA', 'NFLX', 'BIIB']"
2013-04-09,"['GOOG', 'GOOGL', 'MSFT', 'AMZN', 'NFLX']","['MSFT', 'INTC', 'SBUX', 'TXN', 'AMGN']",['ADSK'],"['NFLX', 'GILD', 'CHTR', 'WBA', 'MU']","['GILD', 'ASML', 'CHTR', 'DXCM', 'NFLX']","['ENPH', 'NFLX', 'CHTR', 'WBA', 'PANW']"
2013-04-10,"['NVDA', 'GOOG', 'GOOGL', 'MSFT', 'MU']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'AMGN']",['ADSK'],"['NFLX', 'GILD', 'MU', 'CHTR', 'WBA']","['GILD', 'ASML', 'CHTR', 'REGN', 'DXCM']","['ENPH', 'NFLX', 'CHTR', 'BIIB', 'MU']"
2013-04-11,"['NVDA', 'MSFT', 'GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'MU', 'CMCSA', 'ROST']",['ADSK'],"['NFLX', 'GILD', 'MU', 'CHTR', 'WBA']","['GILD', 'ASML', 'NFLX', 'CHTR', 'REGN']","['NFLX', 'ENPH', 'GILD', 'CHTR', 'BIIB']"
2013-04-12,"['NVDA', 'GOOG', 'GOOGL', 'MSFT', 'AMZN']","['MSFT', 'INTC', 'MU', 'SBUX', 'AMGN']",['ADSK'],"['NFLX', 'GILD', 'FANG', 'MU', 'REGN']","['GILD', 'ASML', 'REGN', 'CHTR', 'AMGN']","['NFLX', 'REGN', 'BIIB', 'GILD', 'AMGN']"
2013-04-15,"['NVDA', 'GOOG', 'GOOGL', 'AMZN', 'MSFT']","['MSFT', 'INTC', 'MU', 'SBUX', 'AMGN']",['ADSK'],"['NFLX', 'GILD', 'FANG', 'REGN', 'CHTR']","['GILD', 'ASML', 'REGN', 'NFLX', 'CHTR']","['NFLX', 'TSLA', 'GILD', 'REGN', 'AMGN']"
2013-04-16,"['NVDA', 'GOOG', 'GOOGL', 'MSFT', 'TSLA']","['INTC', 'MSFT', 'EBAY', 'SBUX', 'AMGN']",['ADSK'],"['NFLX', 'GILD', 'FANG', 'REGN', 'MU']","['GILD', 'REGN', 'CHTR', 'NFLX', 'ASML']","['NFLX', 'TSLA', 'REGN', 'GILD', 'AMGN']"
2013-04-17,"['NVDA', 'GOOG', 'GOOGL', 'AMZN', 'MSFT']","['INTC', 'MSFT', 'SBUX', 'PCAR', 'AMGN']","['EA', 'ADSK']","['NFLX', 'GILD', 'FANG', 'REGN', 'TSLA']","['GILD', 'ASML', 'REGN', 'CHTR', 'AMGN']","['TSLA', 'NFLX', 'GILD', 'REGN', 'BIIB']"
2013-04-18,"['GOOG', 'GOOGL', 'AMZN', 'EBAY', 'MSFT']","['INTC', 'MSFT', 'TXN', 'GILD', 'SBUX']",['ADSK'],"['NFLX', 'GILD', 'FANG', 'TSLA', 'REGN']","['GILD', 'ASML', 'CHTR', 'REGN', 'AMGN']","['TSLA', 'GILD', 'REGN', 'NFLX', 'AMGN']"
