,gtaa_buy_signal,sentiment_buy,risk_buy,dm_buy_signal,paa_buy_signal,daa_buy_signal
2013-01-18,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'EXC']","['PEP', 'ANSS']","['ASML', 'PANW', 'SIRI']","['REGN', 'ASML', 'EBAY']","['ASML', 'MU', 'NXPI']"
2013-01-22,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'SBUX']","['CSX', 'ANSS']","['ASML', 'AMD', 'WDAY']","['REGN', 'ASML', 'EBAY']","['ASML', 'MU', 'NXPI']"
2013-01-23,"['GOOG', 'GOOGL', 'NFLX']","['MSFT', 'INTC', 'EXC']",['ANSS'],"['ASML', 'SIRI', 'META']","['REGN', 'ASML', 'EBAY']","['ASML', 'MU', 'NFLX']"
2013-01-24,"['GOOG', 'GOOGL', 'NFLX']","['MSFT', 'INTC', 'SBUX']","['QCOM', 'ANSS']","['NFLX', 'ASML', 'META']","['REGN', 'ASML', 'EBAY']","['NFLX', 'ASML', 'MU']"
2013-01-25,"['NFLX', 'AMZN', 'GOOG']","['INTC', 'MSFT', 'SBUX']","['CSX', 'AMAT', 'ANSS']","['NFLX', 'ASML', 'WDAY']","['ASML', 'REGN', 'NFLX']","['NFLX', 'ASML', 'MU']"
2013-01-28,"['NFLX', 'AMZN', 'GOOG']","['INTC', 'MSFT', 'CMCSA']","['AMAT', 'MNST', 'ANSS']","['NFLX', 'ASML', 'SIRI']","['ASML', 'REGN', 'EBAY']","['NFLX', 'ASML', 'MU']"
2013-01-29,"['AMZN', 'META', 'GOOG']","['INTC', 'MSFT', 'AMGN']",['ANSS'],"['NFLX', 'ASML', 'GILD']","['ASML', 'REGN', 'EBAY']","['NFLX', 'ASML', 'MU']"
2013-01-30,"['AMZN', 'META', 'GOOG']","['MSFT', 'INTC', 'SBUX']",['ANSS'],"['NFLX', 'ASML', 'GILD']","['ASML', 'REGN', 'EBAY']","['NFLX', 'ASML', 'MU']"
2013-01-31,"['META', 'AMZN', 'FTNT']","['MSFT', 'INTC', 'SBUX']","['ALGN', 'ASML', 'ANSS']","['NFLX', 'ASML', 'CPRT']","['ASML', 'REGN', 'EBAY']","['NFLX', 'ASML', 'CPRT']"
2013-02-01,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'SBUX']","['ASML', 'ALGN', 'ANSS']","['NFLX', 'ASML', 'SIRI']","['ASML', 'REGN', 'EBAY']","['NFLX', 'ASML', 'CPRT']"
2013-02-04,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'SBUX']","['CSX', 'ADBE', 'ASML']","['NFLX', 'ASML', 'CPRT']","['ASML', 'REGN', 'EBAY']","['NFLX', 'ASML', 'CPRT']"
2013-02-05,"['AMZN', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'EA']","['CSX', 'ADBE', 'ANSS']","['NFLX', 'ASML', 'CPRT']","['ASML', 'REGN', 'EBAY']","['NFLX', 'ASML', 'CPRT']"
2013-02-06,"['GOOG', 'GOOGL', 'NFLX']","['MSFT', 'INTC', 'EXC']","['ADBE', 'ANSS']","['NFLX', 'ASML', 'CPRT']","['ASML', 'EBAY', 'CSGP']","['NFLX', 'ASML', 'CPRT']"
2013-02-07,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'SBUX']","['ADBE', 'ANSS']","['NFLX', 'ASML', 'CPRT']","['ASML', 'EBAY', 'CSGP']","['NFLX', 'ASML', 'CPRT']"
2013-02-08,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'AMGN']","['MU', 'ADBE', 'EA']","['NFLX', 'ASML', 'CPRT']","['ASML', 'EBAY', 'CSGP']","['NFLX', 'ASML', 'EA']"
2013-02-11,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'CMCSA']","['MU', 'PEP', 'ANSS']","['NFLX', 'ASML', 'FANG']","['ASML', 'EBAY', 'REGN']","['NFLX', 'ASML', 'EA']"
2013-02-12,"['META', 'GOOG', 'GOOGL']","['MSFT', 'CMCSA', 'INTC']","['EA', 'ANSS']","['NFLX', 'ASML', 'NXPI']","['ASML', 'EBAY', 'CSGP']","['NFLX', 'ASML', 'EA']"
2013-02-13,"['CMCSA', 'AMZN', 'CSCO']","['CMCSA', 'MSFT', 'INTC']","['AEP', 'ANSS']","['NFLX', 'ASML', 'NXPI']","['ASML', 'EBAY', 'CSGP']","['NFLX', 'ASML', 'NXPI']"
2013-02-14,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'SBUX']",['ANSS'],"['NFLX', 'ASML', 'FANG']","['ASML', 'EBAY', 'CSGP']","['NFLX', 'ASML', 'EA']"
2013-02-15,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'SBUX']","['COST', 'ANSS']","['NFLX', 'ASML', 'FANG']","['ASML', 'EBAY', 'CSGP']","['NFLX', 'ASML', 'ALGN']"
2013-02-19,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'SBUX']","['COST', 'WDAY', 'ANSS']","['NFLX', 'ASML', 'FANG']","['ASML', 'GILD', 'CSGP']","['NFLX', 'ASML', 'EA']"
2013-02-20,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'CMCSA']","['EXC', 'WDAY', 'ANSS']","['NFLX', 'ASML', 'FANG']","['ASML', 'GILD', 'CSGP']","['NFLX', 'ASML', 'EA']"
2013-02-21,"['GOOG', 'GOOGL', 'TSLA']","['INTC', 'MSFT', 'CMCSA']","['EXC', 'CHTR', 'WDAY']","['NFLX', 'ASML', 'FANG']","['ASML', 'GILD', 'CSGP']","['NFLX', 'ASML', 'EA']"
2013-02-22,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'SBUX']","['CHTR', 'WDAY', 'ANSS']","['NFLX', 'ASML', 'GILD']","['ASML', 'GILD', 'CSGP']","['NFLX', 'ASML', 'EA']"
2013-02-25,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'SBUX']","['EA', 'CHTR', 'ANSS']","['NFLX', 'GILD', 'NXPI']","['ASML', 'GILD', 'NFLX']","['NFLX', 'EA', 'PANW']"
2013-02-26,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'SBUX']","['CSX', 'EA', 'CHTR']","['NFLX', 'GILD', 'ENPH']","['ASML', 'GILD', 'NFLX']","['NFLX', 'PANW', 'EA']"
2013-02-27,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'SBUX']",['CHTR'],"['NFLX', 'GILD', 'WBD']","['ASML', 'GILD', 'NFLX']","['NFLX', 'EA', 'PANW']"
2013-02-28,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'SBUX']",['CHTR'],"['NFLX', 'FANG', 'GILD']","['ASML', 'GILD', 'NFLX']","['NFLX', 'PANW', 'EA']"
2013-03-01,"['NVDA', 'GOOG', 'GOOGL']","['INTC', 'MSFT', 'SBUX']",['CHTR'],"['NFLX', 'GILD', 'WDAY']","['ASML', 'GILD', 'CSGP']","['NFLX', 'PANW', 'GILD']"
2013-03-04,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'SBUX']",['CHTR'],"['NFLX', 'GILD', 'WDAY']","['ASML', 'GILD', 'CSGP']","['NFLX', 'PANW', 'GILD']"
2013-03-05,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'CMCSA']",['CHTR'],"['NFLX', 'FANG', 'GILD']","['ASML', 'GILD', 'CSGP']","['NFLX', 'GILD', 'PANW']"
2013-03-06,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'CMCSA']","['CSX', 'CHTR']","['FANG', 'GILD', 'WDAY']","['ASML', 'GILD', 'CSGP']","['NFLX', 'GILD', 'PANW']"
2013-03-07,"['NVDA', 'GOOG', 'GOOGL']","['INTC', 'MSFT', 'SBUX']","['CSX', 'EA', 'CHTR']","['FANG', 'GILD', 'WDAY']","['GILD', 'ASML', 'NFLX']","['NFLX', 'MU', 'GILD']"
2013-03-08,"['NVDA', 'GOOG', 'GOOGL']","['INTC', 'MSFT', 'SBUX']","['CSX', 'CHTR']","['NFLX', 'FANG', 'GILD']","['GILD', 'ASML', 'NFLX']","['NFLX', 'MU', 'GILD']"
2013-03-11,"['NVDA', 'GOOG', 'GOOGL']","['INTC', 'MSFT', 'CMCSA']","['CSX', 'EA', 'CHTR']","['NFLX', 'FANG', 'GILD']","['GILD', 'ASML', 'NFLX']","['NFLX', 'MU', 'GILD']"
2013-03-12,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['CSX', 'EA', 'CHTR']","['NFLX', 'GILD', 'MU']","['GILD', 'ASML', 'NFLX']","['NFLX', 'MU', 'GILD']"
2013-03-13,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['EBAY', 'CSX', 'EA']","['NFLX', 'GILD', 'MU']","['GILD', 'ASML', 'NFLX']","['NFLX', 'MU', 'GILD']"
2013-03-14,"['NVDA', 'AMZN', 'GOOG']","['MSFT', 'INTC', 'SBUX']",['CHTR'],"['NFLX', 'GILD', 'MU']","['GILD', 'ASML', 'NFLX']","['NFLX', 'MU', 'GILD']"
2013-03-15,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'EBAY']",['CHTR'],"['GILD', 'MU', 'WBD']","['GILD', 'ASML', 'NFLX']","['NFLX', 'MU', 'PANW']"
2013-03-18,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'EBAY']",['CHTR'],"['GILD', 'CHTR', 'WBD']","['GILD', 'ASML', 'NFLX']","['NFLX', 'CHTR', 'MU']"
2013-03-19,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'SBUX']",['MRVL'],"['CHTR', 'GILD', 'MU']","['GILD', 'ASML', 'WBD']","['NFLX', 'CHTR', 'PANW']"
2013-03-20,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'CMCSA']",['MRVL'],"['CHTR', 'MU', 'WBD']","['GILD', 'ASML', 'CHTR']","['NFLX', 'CHTR', 'MU']"
2013-03-21,"['CSCO', 'GOOG', 'GOOGL']","['MSFT', 'EBAY', 'INTC']",['MRVL'],"['CHTR', 'GILD', 'WBD']","['GILD', 'ASML', 'WBD']","['NFLX', 'CHTR', 'MU']"
2013-03-22,"['MU', 'AMZN', 'GOOG']","['INTC', 'MSFT', 'SBUX']",['MRVL'],"['NFLX', 'MU', 'CHTR']","['GILD', 'ASML', 'WBD']","['NFLX', 'MU', 'CHTR']"
2013-03-25,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'MU', 'INTC']",['MRVL'],"['NFLX', 'MU', 'CHTR']","['GILD', 'ASML', 'WBD']","['NFLX', 'MU', 'CHTR']"
2013-03-26,"['AMZN', 'GOOG', 'GOOGL']","['INTC', 'MU', 'MSFT']",['MRVL'],"['NFLX', 'MU', 'GILD']","['GILD', 'ASML', 'WBD']","['NFLX', 'MU', 'CHTR']"
2013-03-27,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'MU']",['MRVL'],"['NFLX', 'MU', 'GILD']","['GILD', 'ASML', 'CHTR']","['NFLX', 'MU', 'CHTR']"
2013-03-28,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'CMCSA']","['MRVL', 'ADP']","['NFLX', 'GILD', 'MU']","['GILD', 'ASML', 'CHTR']","['NFLX', 'MU', 'CHTR']"
2013-04-01,"['TSLA', 'GOOG', 'GOOGL']","['INTC', 'MSFT', 'CMCSA']","['MU', 'MRVL', 'ADP']","['GILD', 'CHTR', 'MU']","['GILD', 'ASML', 'DXCM']","['NFLX', 'ENPH', 'TSLA']"
2013-04-02,"['TSLA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['MU', 'MRVL', 'ADP']","['GILD', 'CHTR', 'MU']","['GILD', 'ASML', 'DXCM']","['NFLX', 'ENPH', 'TSLA']"
2013-04-03,"['TSLA', 'NFLX', 'GOOG']","['INTC', 'MSFT', 'CMCSA']","['MU', 'ADP']","['GILD', 'CHTR', 'MU']","['GILD', 'ASML', 'CHTR']","['NFLX', 'ENPH', 'CHTR']"
2013-04-04,"['GOOG', 'GOOGL', 'META']","['MSFT', 'MU', 'INTC']",,"['NFLX', 'GILD', 'CHTR']","['GILD', 'ASML', 'CHTR']","['ENPH', 'NFLX', 'CHTR']"
2013-04-05,"['GOOG', 'GOOGL', 'META']","['MSFT', 'MU', 'INTC']",,"['NFLX', 'CHTR', 'GILD']","['GILD', 'ASML', 'CHTR']","['ENPH', 'CHTR', 'NFLX']"
2013-04-08,"['GOOG', 'GOOGL', 'AMZN']","['MSFT', 'INTC', 'SBUX']","['MNST', 'ADSK']","['NFLX', 'CHTR', 'GILD']","['GILD', 'ASML', 'CHTR']","['CHTR', 'ENPH', 'WBA']"
2013-04-09,"['GOOG', 'GOOGL', 'MSFT']","['MSFT', 'INTC', 'SBUX']",['ADSK'],"['NFLX', 'GILD', 'CHTR']","['GILD', 'ASML', 'CHTR']","['ENPH', 'NFLX', 'CHTR']"
2013-04-10,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'CMCSA']",['ADSK'],"['NFLX', 'GILD', 'MU']","['GILD', 'ASML', 'CHTR']","['ENPH', 'NFLX', 'CHTR']"
2013-04-11,"['NVDA', 'MSFT', 'GOOG']","['MSFT', 'INTC', 'MU']",['ADSK'],"['NFLX', 'GILD', 'MU']","['GILD', 'ASML', 'NFLX']","['NFLX', 'ENPH', 'GILD']"
2013-04-12,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'MU']",['ADSK'],"['NFLX', 'GILD', 'FANG']","['GILD', 'ASML', 'REGN']","['NFLX', 'REGN', 'BIIB']"
2013-04-15,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'MU']",['ADSK'],"['NFLX', 'GILD', 'FANG']","['GILD', 'ASML', 'REGN']","['NFLX', 'TSLA', 'GILD']"
2013-04-16,"['NVDA', 'GOOG', 'GOOGL']","['INTC', 'MSFT', 'EBAY']",['ADSK'],"['NFLX', 'GILD', 'FANG']","['GILD', 'REGN', 'CHTR']","['NFLX', 'TSLA', 'REGN']"
2013-04-17,"['NVDA', 'GOOG', 'GOOGL']","['INTC', 'MSFT', 'SBUX']","['EA', 'ADSK']","['NFLX', 'GILD', 'FANG']","['GILD', 'ASML', 'REGN']","['TSLA', 'NFLX', 'GILD']"
2013-04-18,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'TXN']",['ADSK'],"['NFLX', 'GILD', 'FANG']","['GILD', 'ASML', 'CHTR']","['TSLA', 'GILD', 'REGN']"
2013-04-19,"['GOOG', 'GOOGL', 'MSFT']","['MSFT', 'INTC', 'SBUX']",['ADSK'],"['NFLX', 'VRTX', 'GILD']","['VRTX', 'GILD', 'ASML']","['VRTX', 'TSLA', 'GILD']"
2013-04-22,"['MSFT', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['QCOM', 'ADSK']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'GILD', 'ASML']","['VRTX', 'TSLA', 'NFLX']"
2013-04-23,"['NVDA', 'NFLX', 'GOOG']","['INTC', 'MSFT', 'SBUX']","['QCOM', 'PCAR', 'ADSK']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'NFLX', 'GILD']","['VRTX', 'NFLX', 'TSLA']"
2013-04-24,"['NVDA', 'MSFT', 'GOOG']","['MSFT', 'INTC', 'SBUX']","['AMGN', 'PCAR', 'ADSK']","['NFLX', 'VRTX', 'TSLA']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'NFLX', 'TSLA']"
2013-04-25,"['NVDA', 'AMZN', 'MSFT']","['MSFT', 'INTC', 'SBUX']","['PCAR', 'ADSK', 'ASML']","['NFLX', 'TSLA', 'VRTX']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'NFLX', 'TSLA']"
2013-04-26,"['NVDA', 'AMZN', 'INTC']","['INTC', 'MSFT', 'SBUX']","['PCAR', 'ADSK']","['NFLX', 'TSLA', 'VRTX']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'NFLX', 'TSLA']"
2013-04-29,"['NVDA', 'INTC', 'GOOG']","['INTC', 'MSFT', 'CMCSA']","['PCAR', 'ADSK']","['NFLX', 'TSLA', 'VRTX']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'TSLA', 'NFLX']"
2013-04-30,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'EXC']","['GILD', 'ADSK', 'PCAR']","['NFLX', 'TSLA', 'VRTX']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'TSLA', 'NFLX']"
2013-05-01,"['NVDA', 'AMD', 'META']","['MSFT', 'INTC', 'CMCSA']","['PCAR', 'ADSK']","['NFLX', 'TSLA', 'VRTX']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'NFLX', 'REGN']"
2013-05-02,"['NVDA', 'META', 'GOOG']","['MSFT', 'INTC', 'CMCSA']","['PCAR', 'ADSK']","['NFLX', 'TSLA', 'REGN']","['NFLX', 'VRTX', 'GILD']","['VRTX', 'ENPH', 'NFLX']"
2013-05-03,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'CMCSA']","['PCAR', 'PAYX', 'ADSK']","['NFLX', 'REGN', 'TSLA']","['NFLX', 'GILD', 'VRTX']","['ENPH', 'VRTX', 'REGN']"
2013-05-06,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['PCAR', 'ADSK']","['NFLX', 'TSLA', 'REGN']","['NFLX', 'GILD', 'VRTX']","['VRTX', 'TSLA', 'REGN']"
2013-05-07,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'SBUX']","['ADSK', 'BIIB']","['NFLX', 'REGN', 'TSLA']","['NFLX', 'GILD', 'REGN']","['REGN', 'VRTX', 'AMD']"
2013-05-08,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'QCOM']",['ADSK'],"['NFLX', 'REGN', 'TSLA']","['NFLX', 'GILD', 'REGN']","['ENPH', 'REGN', 'NFLX']"
2013-05-09,"['NVDA', 'TSLA', 'GOOG']","['MU', 'MSFT', 'INTC']","['ADBE', 'ADSK']","['NFLX', 'TSLA', 'REGN']","['NFLX', 'TSLA', 'GILD']","['TSLA', 'ENPH', 'VRTX']"
2013-05-10,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'SBUX']",['TMUS'],"['TSLA', 'NFLX', 'REGN']","['NFLX', 'TSLA', 'REGN']","['TSLA', 'ENPH', 'VRTX']"
2013-05-13,"['TSLA', 'NVDA', 'GOOG']","['MSFT', 'INTC', 'EA']","['MU', 'TXN']","['TSLA', 'NFLX', 'REGN']","['NFLX', 'TSLA', 'GILD']","['TSLA', 'ENPH', 'AMD']"
2013-05-14,"['TSLA', 'NVDA', 'GOOG']","['MSFT', 'INTC', 'SBUX']","['MU', 'TXN']","['TSLA', 'NFLX', 'ENPH']","['NFLX', 'TSLA', 'REGN']","['TSLA', 'ENPH', 'AMD']"
2013-05-15,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'CTSH']",['TXN'],"['TSLA', 'NFLX', 'ENPH']","['NFLX', 'TSLA', 'GILD']","['TSLA', 'ENPH', 'AMD']"
2013-05-16,"['TSLA', 'NVDA', 'CSCO']","['MSFT', 'INTC', 'GILD']",,"['TSLA', 'NFLX', 'ENPH']","['NFLX', 'TSLA', 'GILD']","['TSLA', 'ENPH', 'NFLX']"
2013-05-17,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'GILD']",['ADBE'],"['TSLA', 'NFLX', 'ENPH']","['NFLX', 'TSLA', 'GILD']","['TSLA', 'ENPH', 'AMD']"
2013-05-20,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'QCOM']",,"['TSLA', 'NFLX', 'ENPH']","['NFLX', 'TSLA', 'ASML']","['TSLA', 'ENPH', 'NFLX']"
2013-05-21,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'QCOM']",,"['TSLA', 'NFLX', 'ENPH']","['NFLX', 'TSLA', 'GILD']","['TSLA', 'ENPH', 'NFLX']"
2013-05-22,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'QCOM']",,"['TSLA', 'NFLX', 'REGN']","['NFLX', 'TSLA', 'GILD']","['TSLA', 'ENPH', 'AMD']"
2013-05-23,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'QCOM']",,"['TSLA', 'NFLX', 'MU']","['NFLX', 'TSLA', 'GILD']","['TSLA', 'ENPH', 'AMD']"
2013-05-24,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'QCOM']","['CSX', 'AEP']","['TSLA', 'NFLX', 'MU']","['NFLX', 'TSLA', 'ASML']","['TSLA', 'AMD', 'ENPH']"
2013-05-28,"['TSLA', 'NVDA', 'GOOG']","['MSFT', 'INTC', 'SBUX']","['EXC', 'AEP']","['TSLA', 'MU', 'EA']","['TSLA', 'NFLX', 'ASML']","['TSLA', 'AMD', 'ENPH']"
2013-05-29,"['TSLA', 'NVDA', 'GOOG']","['MSFT', 'INTC', 'MU']",['EXC'],"['TSLA', 'MU', 'NFLX']","['TSLA', 'NFLX', 'ASML']","['TSLA', 'AMD', 'ENPH']"
2013-05-30,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'MU']",,"['TSLA', 'NFLX', 'MU']","['TSLA', 'NFLX', 'ASML']","['TSLA', 'AMD', 'MU']"
2013-05-31,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'CMCSA']",['AMGN'],"['TSLA', 'NFLX', 'MU']","['NFLX', 'TSLA', 'ASML']","['TSLA', 'AMD', 'NFLX']"
2013-06-03,"['NVDA', 'TSLA', 'GOOG']","['INTC', 'MSFT', 'SBUX']","['PANW', 'MNST']","['TSLA', 'NFLX', 'MU']","['NFLX', 'TSLA', 'ASML']","['TSLA', 'NFLX', 'MU']"
2013-06-04,"['NVDA', 'TSLA', 'GOOG']","['INTC', 'MSFT', 'SBUX']","['PANW', 'EA']","['TSLA', 'NFLX', 'MU']","['NFLX', 'TSLA', 'ASML']","['TSLA', 'NFLX', 'MU']"
2013-06-05,"['NVDA', 'TSLA', 'GOOG']","['INTC', 'MSFT', 'MU']",['PANW'],"['TSLA', 'NFLX', 'MU']","['NFLX', 'TSLA', 'ASML']","['TSLA', 'MU', 'NFLX']"
2013-06-06,"['NVDA', 'TSLA', 'GOOG']","['INTC', 'MSFT', 'CMCSA']",['PANW'],"['TSLA', 'NFLX', 'MU']","['TSLA', 'NFLX', 'MU']","['TSLA', 'MU', 'NFLX']"
2013-06-07,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'CMCSA']",['PANW'],"['TSLA', 'NFLX', 'MU']","['TSLA', 'NFLX', 'MU']","['TSLA', 'MU', 'NFLX']"
2013-06-10,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'SBUX']",['PANW'],"['TSLA', 'NFLX', 'MU']","['NFLX', 'TSLA', 'MU']","['TSLA', 'MU', 'NFLX']"
2013-06-11,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'CMCSA']","['EBAY', 'PANW']","['TSLA', 'MU', 'DXCM']","['NFLX', 'TSLA', 'MU']","['TSLA', 'MU', 'NFLX']"
2013-06-12,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'SBUX']","['CTSH', 'PANW', 'BIIB']","['TSLA', 'MU', 'FANG']","['TSLA', 'NFLX', 'TMUS']","['TSLA', 'MU', 'DXCM']"
2013-06-13,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'SBUX']","['TXN', 'PANW']","['TSLA', 'MU', 'FANG']","['NFLX', 'TSLA', 'TMUS']","['TSLA', 'MU', 'VRTX']"
2013-06-14,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'SBUX']","['PANW', 'EXC']","['TSLA', 'MU', 'FANG']","['NFLX', 'TSLA', 'TMUS']","['TSLA', 'MU', 'TMUS']"
2013-06-17,"['NVDA', 'TSLA', 'GOOG']","['MSFT', 'INTC', 'SBUX']","['PANW', 'PEP']","['TSLA', 'MU', 'FANG']","['NFLX', 'TSLA', 'TMUS']","['TSLA', 'MU', 'NFLX']"
